Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6751,6034,9477,15766,7080,9437,54545,0,0,1,1,0,0,2,2512,2811,759,1887,1569,839,1012,854,79,718,463,75,0,0,0,0,1,0,2
1,6698,6047,9629,15873,7100,9566,54913,0,1,0,0,0,0,1,2441,2807,763,1952,1554,833,1004,808,78,777,478,84,1,1,1,0,0,0,0
1,6714,5913,9331,15827,7118,9511,54414,0,0,2,0,0,0,2,2459,2808,771,1847,1547,887,967,828,71,785,483,97,0,0,0,0,0,0,1
2,6568,6043,9642,15853,7055,9624,54785,0,0,0,0,0,0,0,2444,2769,753,1875,1551,867,975,831,87,747,452,89,0,0,0,0,0,0,2
1,6688,6000,9502,15864,7085,9631,54770,0,2,0,1,0,0,3,2497,2845,752,1897,1525,807,1023,857,79,754,459,89,1,0,0,0,2,0,2
1,6707,5958,9712,15713,7097,9456,54643,0,0,1,1,0,1,3,2476,2818,796,1795,1560,835,966,792,80,711,494,84,1,0,0,0,1,0,2
2,6544,6174,9516,15787,7008,9422,54451,0,1,0,2,1,0,4,2378,2913,790,1847,1505,810,967,866,85,708,453,76,1,1,1,0,3,16.3,5
3,6649,6059,9482,15694,6994,9431,54309,5,0,3,3,2,2,15,2462,2791,757,1840,1577,826,932,830,86,725,451,80,1,0,1,0,8,16.5,22
4,6696,6093,9572,15762,6984,9438,54545,4,2,4,8,3,3,24,2469,2886,732,1932,1503,891,1045,881,70,771,480,90,6,3,1,0.001,10,16.5,38
5,6627,6096,9398,15714,6991,9351,54177,4,7,2,14,1,6,34,2420,2842,720,1878,1543,923,940,842,70,777,435,101,9,2,1,0.001,18,16.5,71
6,6604,6049,9583,15807,6857,9559,54459,14,3,10,28,8,9,72,2415,2857,772,1805,1478,874,928,871,74,740,447,90,15,5,1,0.002,30,16.5,140
7,6566,6104,9416,15821,7124,9382,54413,13,12,8,44,13,14,104,2399,2924,758,1780,1574,849,959,866,93,747,496,101,22,9,1,0.003,44,16.5,243
8,6524,6008,9448,15959,6945,9687,54571,38,12,13,48,10,18,139,2379,2794,738,1952,1535,871,952,820,76,797,484,61,34,13,1,0.004,60,19.8,383
9,6557,6038,9443,15869,7112,9463,54482,42,21,22,76,16,25,202,2379,2814,737,1913,1538,838,992,822,67,741,441,71,38,15,1,0.005,79,19.8,570
10,6628,5986,9614,15930,6957,9558,54673,64,18,36,113,41,40,312,2441,2836,761,1798,1509,889,951,833,74,716,461,89,56,17,1,0.005,106,33.6,897
11,6528,6180,9462,15784,7033,9527,54514,75,34,46,175,44,71,445,2385,2907,707,1862,1557,828,1000,901,66,765,483,91,93,33,1,0.01,151,33.6,1343
12,6603,6061,9489,15775,7027,9485,54440,125,60,64,230,59,85,623,2464,2824,739,1883,1516,864,969,842,86,742,469,82,115,41,1,0.013,206,50.2,1958
13,6585,6071,9426,15742,7026,9333,54183,185,87,80,312,111,99,874,2396,1990,734,1873,1565,826,990,578,75,747,465,68,169,59,1,0.02,280,56,2771
14,7329,6018,9453,15772,6929,9311,54812,284,83,104,433,121,162,1187,2703,2029,755,1789,1534,834,1158,589,76,732,426,91,222,87,1,0.028,368,56,3929
15,7632,6015,9207,15698,6825,9458,54835,378,142,168,586,173,212,1659,2794,1982,736,1878,1574,855,1099,596,92,715,482,76,324,104,1,0.034,477,56,5521
16,7790,5853,9171,15299,6938,9261,54312,535,165,200,732,220,281,2133,2816,1938,740,1792,1509,828,1161,591,85,756,440,80,442,159,1,0.051,586,56,7601
17,7789,5820,9070,15036,6741,9080,53536,661,232,244,906,274,331,2648,2863,1925,743,1833,1456,798,1153,568,63,751,438,89,570,198,1,0.065,682,64.2,10107
18,7664,5646,8717,14717,6607,8843,52194,777,255,323,1045,337,357,3094,2878,1861,702,1727,1407,832,1162,557,69,674,427,73,572,198,1,0.067,763,64.2,13101
19,7411,5394,8601,14183,6429,8547,50565,831,335,402,1216,368,419,3571,2697,1713,687,1647,1420,730,1033,505,65,647,429,55,747,251,1,0.092,835,64.2,16582
20,7118,5200,8376,13845,6183,8267,48989,831,304,384,1234,405,477,3635,2650,1726,657,1573,1395,799,1094,536,71,641,431,61,740,260,1,0.092,917,73.9,20041
21,6839,5255,8032,13465,5897,8012,47500,852,342,409,1206,369,449,3627,2490,1771,674,1560,1300,755,1034,539,71,622,373,72,709,252,1,0.093,967,73.9,23636
