Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6712,6008,9657,15773,7130,9481,54761,0,1,0,0,0,0,1,2494,2853,792,1852,1600,878,994,859,84,725,500,71,1,1,1,0,0,0,0
1,6741,6007,9512,15807,7050,9636,54753,0,0,1,0,0,0,1,2569,2840,802,1913,1573,830,1025,843,99,783,500,73,0,0,0,0,1,0,0
1,6698,6010,9538,15860,7029,9453,54588,0,1,0,0,0,0,1,2454,2844,760,1898,1565,826,1028,896,78,757,464,77,0,0,0,0,0,0,0
2,6604,6113,9511,15702,7085,9510,54525,2,0,0,0,0,0,2,2443,2924,728,1854,1544,916,947,888,61,744,462,95,0,0,0,0,1,0,2
3,6559,6068,9323,15623,7047,9507,54127,4,0,0,0,1,1,6,2466,2806,763,1817,1601,815,979,838,73,742,555,59,1,1,1,0,3,2.2,7
4,6600,6000,9293,15656,7072,9384,54005,1,1,0,1,0,0,3,2441,2787,683,1903,1493,851,945,824,83,765,450,82,2,1,1,0,1,2.2,8
5,6578,5941,9369,15765,6870,9497,54020,2,0,0,0,0,1,3,2439,2782,782,1867,1509,873,991,840,79,765,440,86,1,0,1,0,2,2.8,10
6,6503,5956,9394,15663,7040,9522,54078,1,0,1,1,3,0,6,2465,2790,735,1834,1582,898,961,823,67,724,493,81,1,0,1,0,4,3.2,15
7,6455,6015,9343,15759,7054,9416,54042,0,0,3,5,0,2,10,2332,2829,735,1875,1505,819,940,841,70,729,465,67,1,0,1,0,4,4.5,24
8,6495,6002,9475,15840,7028,9491,54331,1,0,0,5,2,2,10,2488,2759,798,1862,1538,861,975,824,80,739,431,96,2,0,1,0,5,4.5,35
9,6449,6063,9469,15659,7091,9519,54250,4,0,0,3,3,1,11,2371,2833,730,1857,1555,849,956,834,78,741,481,91,2,1,1,0,6,5.8,44
10,6546,6056,9321,15857,7086,9500,54366,3,0,1,4,0,3,11,2434,2824,784,1805,1554,883,905,853,92,712,467,86,3,1,1,0,5,5.8,51
11,6548,5901,9637,15763,7036,9502,54387,4,0,1,3,0,1,9,2416,2828,793,1842,1597,871,955,861,82,750,503,90,2,1,1,0,3,6.7,61
12,6409,6116,9285,15677,7004,9398,53889,1,0,0,1,1,0,3,2396,2799,725,1863,1480,848,971,842,86,758,456,86,1,0,1,0,1,6.7,63
13,6543,6006,9700,15875,6941,9499,54564,0,3,0,2,0,3,8,2505,1979,751,2032,1902,487,956,585,60,772,581,54,3,1,1,0,5,6.7,74
14,7146,6137,9242,15391,7322,9212,54450,4,0,0,0,0,0,4,2617,2005,754,1984,1878,512,1046,570,76,768,556,51,0,0,1,0,2,18.4,77
15,7759,5875,9253,15392,7075,9162,54516,6,0,0,0,0,1,7,2950,1947,733,1946,1862,532,1213,601,68,767,541,55,2,1,1,0,4,18.4,81
16,7750,5965,9132,15293,7059,9294,54493,6,0,0,2,1,1,10,2824,1945,696,1920,1880,535,1111,585,66,762,559,61,1,0,1,0,6,23.3,91
