Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6699,6011,9452,15815,7121,9554,54652,1,0,2,0,0,0,3,2411,2775,727,1950,1553,894,940,800,92,766,462,88,1,0,0,0,2,0,3
2,6751,6077,9423,15691,7084,9258,54284,0,2,0,0,0,0,2,2563,2800,784,1856,1556,782,1002,859,70,751,470,86,1,0,0,0,1,3.2,3
3,6683,6018,9438,15661,6920,9442,54162,2,0,0,0,0,0,2,2490,2897,764,1799,1497,806,992,870,81,724,440,97,1,1,1,0,1,3.2,5
4,6564,6045,9331,15982,7040,9605,54567,3,0,0,0,0,0,3,2511,2813,763,1911,1555,860,999,818,88,796,488,93,0,0,1,0,3,5,8
5,6463,5923,9631,16044,7088,9500,54649,4,0,0,0,0,0,4,2379,2805,774,1905,1569,855,981,867,94,758,439,102,2,0,1,0,2,5.1,10
6,6411,6110,9471,16039,7030,9557,54618,3,0,0,0,0,0,3,2395,2897,767,1837,1560,812,970,896,80,785,471,69,0,0,1,0,3,6.1,12
7,6395,6024,9638,15979,7113,9639,54788,2,0,0,1,0,0,3,2377,2819,770,1894,1549,840,968,866,69,784,492,91,1,1,1,0,2,6.1,13
8,6427,6150,9602,16265,7189,9794,55427,1,0,1,3,1,1,7,2413,2864,813,1899,1624,848,931,918,76,795,489,91,1,0,1,0,1,6.1,19
9,6542,6023,9808,16343,7322,9681,55719,0,1,2,4,1,0,8,2460,2846,750,1946,1542,886,977,843,85,786,438,82,2,0,1,0,1,6.1,29
10,6526,6240,9756,16440,7182,9858,56002,1,0,0,0,0,2,3,2414,2909,764,1926,1539,905,958,847,80,753,463,95,1,0,1,0,2,8.9,36
11,6662,6238,9983,16469,7288,9963,56603,1,0,0,0,0,0,1,2449,2830,785,1982,1626,866,969,882,83,810,500,96,1,1,1,0,0,8.9,36
1,6712,6028,9556,15786,7081,9555,54718,0,1,0,0,0,0,1,2487,2790,765,1892,1590,861,1008,807,82,750,476,74,0,0,0,0,1,0,0
2,6635,6041,9397,15697,7037,9421,54228,2,0,0,1,0,0,3,2449,2830,788,1881,1550,794,1002,857,89,745,455,80,0,0,0,0,2,1.4,3
3,6537,5930,9270,15664,7016,9495,53912,6,0,0,2,0,0,8,2455,2803,726,1864,1574,851,977,856,67,730,447,76,3,1,1,0,3,1.4,10
4,6480,5983,9320,15608,7043,9271,53705,4,0,0,2,1,2,9,2415,2824,785,1836,1542,813,964,858,82,766,454,82,1,0,1,0,4,2.2,15
5,6455,5923,9395,15712,6912,9390,53787,0,6,0,6,3,3,18,2374,2751,757,1888,1495,804,918,823,66,751,412,82,4,3,1,0.001,6,8,34
6,6523,5982,9303,15705,7021,9470,54004,12,0,3,10,3,4,32,2378,2792,716,1845,1543,870,935,877,65,753,459,67,8,0,1,0,12,8.1,62
7,6532,6048,9544,15798,7028,9295,54245,9,2,2,11,1,4,29,2425,2801,756,1846,1542,819,927,855,89,708,450,71,5,3,1,0.001,15,8.2,92
8,6547,6105,9529,15853,6905,9456,54395,10,2,4,15,3,5,39,2451,2882,757,1916,1476,845,1011,833,77,791,427,89,9,3,1,0.001,17,23,132
9,6555,6098,9422,15801,7023,9586,54485,11,11,1,19,2,7,51,2479,2829,718,1903,1555,908,992,860,76,741,482,92,15,5,1,0.002,21,40.5,186
10,6549,6092,9441,15789,7069,9532,54472,20,8,5,18,6,7,64,2407,2929,742,1948,1541,849,1022,895,65,804,469,78,16,5,1,0.002,26,40.5,243
11,6499,6056,9462,15848,7062,9367,54294,15,10,8,18,4,5,60,2483,2856,723,1997,1604,804,983,826,75,823,502,69,14,9,1,0.003,24,40.5,306
12,6429,6101,9388,15747,6891,9536,54092,15,4,3,29,7,9,67,2360,2869,759,1908,1539,915,984,852,76,761,456,99,9,2,1,0.001,36,40.5,377
