Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,7881,5981,9338,15501,6967,9247,54915,0,0,1,1,0,0,2,2880,1938,778,1889,1561,837,1129,590,87,754,442,79,0,0,0,0,1,0,1
2,8096,5979,9263,15295,6858,9222,54713,0,0,0,1,0,0,1,2970,1999,744,1777,1500,850,1152,615,75,714,449,94,0,0,0,0,1,2.8,1
1,7821,6045,9305,15539,6877,9268,54855,0,0,1,0,0,0,1,2825,2026,735,1805,1525,868,1113,644,82,717,468,98,0,0,0,0,1,0,0
1,7852,5907,9256,15447,6939,9447,54848,0,1,0,0,0,0,1,2846,1931,753,1762,1518,827,1088,602,69,737,434,68,0,0,0,0,1,0,0
1,7874,5994,9329,15568,6924,9383,55072,1,0,0,1,0,0,2,2942,1999,702,1727,1483,798,1177,580,65,702,440,84,1,0,0,0,1,0,2
2,7977,5925,9378,15728,7006,9381,55395,4,0,0,0,0,2,6,2971,1964,780,1849,1497,801,1194,604,87,729,409,73,1,1,1,0,5,3.2,7
3,7971,5978,9243,15579,6955,9592,55318,10,0,2,2,2,0,16,2924,1953,745,1832,1547,876,1136,575,74,715,461,89,6,3,1,0.001,7,5,18
4,8074,5852,9386,15600,7134,9362,55408,14,2,2,5,1,4,28,2999,1957,750,1810,1589,808,1219,624,74,743,459,83,6,3,1,0.001,9,5,47
5,7983,6000,9450,15723,6973,9383,55512,12,2,4,11,5,5,39,2930,1935,755,1902,1566,870,1167,595,69,744,485,91,15,4,1,0.001,10,9.5,78
6,8122,6082,9343,15802,7001,9399,55749,7,1,0,8,1,1,18,2985,2026,757,1823,1549,873,1244,629,82,736,471,84,3,2,1,0.001,13,9.5,94
7,8174,5994,9574,15925,6945,9541,56153,10,0,1,5,2,4,22,3010,1938,738,1833,1515,815,1184,558,70,731,454,84,4,1,1,0,10,9.5,119
8,8242,6162,9650,15949,7124,9648,56775,11,3,3,12,4,2,35,3096,2021,787,1880,1583,824,1237,617,98,771,491,80,13,2,1,0.001,16,9.5,149
9,8330,6190,9777,16005,7201,9375,56878,15,3,9,18,5,10,60,3092,2011,801,1855,1561,819,1288,604,80,736,457,78,12,5,1,0.002,27,13.3,206
10,8382,6202,9692,16267,7007,9563,57113,14,10,6,30,12,10,82,3068,2016,791,1951,1585,860,1197,630,86,791,485,83,14,8,1,0.002,35,13.3,281
11,8461,6164,9722,16069,7102,9495,57013,37,13,17,63,16,14,160,3153,2071,725,1886,1563,838,1259,621,68,741,480,80,31,11,1,0.003,57,21.6,448
12,8378,6291,9528,16067,7066,9688,57018,83,25,32,92,30,30,292,3058,2035,745,1915,1528,830,1239,619,74,735,439,78,59,19,1,0.006,102,24.2,722
13,8521,6132,9445,16018,7189,9576,56881,110,26,37,122,31,55,381,3161,1965,780,1833,1667,834,1246,645,84,742,510,76,81,27,1,0.008,134,30.4,1086
14,8462,5989,9515,16033,7125,9595,56719,154,47,55,179,50,51,536,3158,1954,756,1859,1600,862,1269,562,65,746,501,86,110,37,1,0.011,188,30.4,1598
15,8292,6079,9522,15996,7070,9561,56520,210,65,56,241,54,68,694,3060,1993,753,1864,1559,871,1222,631,71,752,482,89,167,62,1,0.019,238,30.4,2234
16,8231,6118,9535,15915,7091,9613,56503,303,89,64,342,97,101,996,2929,2036,769,1856,1560,871,1163,619,76,700,492,87,221,78,1,0.025,321,35.6,3212
