Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6734,6014,9545,15868,7164,9497,54822,0,0,1,1,0,1,3,2521,2858,753,1914,1560,840,982,917,78,805,448,84,0,0,0,0,1,0,2
2,6550,6124,9484,15774,7106,9407,54445,1,0,0,4,1,2,8,2446,2913,754,1857,1622,870,942,905,80,732,478,87,2,1,1,0,1,3.2,8
3,6510,6010,9448,15751,6928,9480,54127,0,1,3,3,1,1,9,2416,2867,773,1843,1559,906,951,861,76,723,471,93,0,0,1,0,4,13.6,20
4,6448,6024,9496,15755,7001,9367,54091,3,4,2,8,2,2,21,2350,2800,783,1814,1500,845,918,876,91,701,433,72,4,1,1,0,13,22.7,39
5,6546,6110,9681,15970,6999,9548,54854,7,2,4,14,3,2,32,2454,2811,785,1860,1567,829,1001,868,74,782,459,96,5,4,1,0.001,16,22.7,70
6,6633,6213,9420,16008,7139,9594,55007,7,5,7,12,4,2,37,2416,2893,719,1849,1548,859,961,868,72,722,429,78,8,2,1,0.001,20,22.7,105
7,6690,5984,9517,16130,7147,9495,54963,14,5,4,13,4,11,51,2476,2893,757,1949,1526,875,1030,918,80,766,485,80,17,7,1,0.002,22,23.4,149
8,6497,6081,9845,16063,7065,9423,54974,11,4,6,26,7,5,59,2392,2859,820,1871,1610,862,993,858,91,763,485,78,16,7,1,0.002,24,24.1,201
9,6508,6222,9445,16006,6982,9652,54815,24,9,5,35,8,12,93,2340,3004,719,1898,1527,874,928,873,56,759,493,102,19,6,1,0.002,40,24.2,297
10,6589,6080,9585,15907,7145,9495,54801,27,9,19,45,10,12,122,2413,2854,798,1833,1549,847,942,875,81,737,474,70,22,8,1,0.003,55,27,412
11,6614,6090,9597,16091,7055,9606,55053,37,18,17,65,15,18,170,2419,2854,774,1946,1521,869,1029,805,77,770,482,94,30,10,1,0.003,71,33.3,567
12,6645,6112,9664,15974,7114,9569,55078,72,14,25,81,28,18,238,2512,2873,765,1870,1513,881,1010,874,74,690,429,91,58,21,1,0.007,92,33.3,801
13,6530,6215,9644,16045,7070,9618,55122,67,42,31,97,33,31,301,2398,2108,783,1967,1583,864,1008,625,75,808,468,91,56,22,1,0.007,138,35,1080
14,7285,6177,9616,16033,7090,9454,55655,127,34,36,157,35,30,419,2731,2066,742,1923,1558,881,1110,636,72,771,463,77,88,30,1,0.01,188,36,1467
15,7723,6149,9561,15865,7005,9571,55874,171,42,68,186,62,77,606,2898,2040,756,1893,1573,882,1125,615,69,738,474,92,127,41,1,0.013,230,36,2038
16,7888,6092,9584,15798,7028,9596,55986,202,82,75,279,89,106,833,2942,1979,778,1869,1538,834,1160,591,77,721,448,71,166,48,1,0.016,329,53,2829
17,8084,6124,9438,15829,7095,9575,56145,321,108,116,413,119,116,1193,3016,2051,782,1848,1572,820,1216,600,78,735,449,79,234,84,1,0.027,478,68.1,3909
18,8027,5908,9301,15800,7189,9529,55754,475,140,149,543,199,188,1694,2990,1976,759,1848,1568,812,1159,601,78,713,458,81,332,112,1,0.036,670,68.1,5490
19,7904,5921,9448,15812,7046,9541,55672,669,231,195,812,204,273,2384,2948,1984,779,1982,1514,776,1213,581,89,769,452,86,480,161,1,0.05,876,68.2,7666
20,7708,5877,9275,15420,7033,9452,54765,864,276,299,1009,309,413,3170,2828,1862,696,1784,1604,852,1144,583,60,712,478,91,622,212,1,0.069,1093,68.3,10652
21,7738,5857,9143,15184,6832,9152,53906,1054,360,358,1332,431,448,3983,2883,1964,764,1803,1459,833,1144,595,84,765,414,75,813,283,1,0.092,1343,68.3,14422
22,7496,5647,8852,14817,6595,8913,52320,1277,408,459,1684,499,590,4917,2687,1859,695,1657,1428,794,1102,545,59,663,425,74,964,338,1,0.118,1584,68.3,18992
23,7270,5463,8543,14325,6342,8657,50600,1429,550,589,1936,604,731,5839,2622,1827,710,1697,1485,760,1056,557,75,640,451,74,1170,433,1,0.152,1847,68.6,24484
24,6849,5204,8069,13567,6130,8138,47957,1570,620,699,2249,731,856,6725,2588,1716,654,1641,1367,722,1072,514,58,648,405,74,1379,468,1,0.169,2052,68.6,30895
25,6383,4821,7568,12616,5644,7606,44638,1736,659,705,2507,846,891,7344,2348,1585,635,1463,1243,702,954,464,73,568,405,79,1491,519,1,0.204,2192,68.6,37890
1,6732,5971,9412,15932,7111,9782,54940,0,1,0,0,0,0,1,2514,2806,743,1906,1527,928,978,843,67,756,454,94,0,0,0,0,1,0,0
2,6601,5954,9490,15792,7221,9553,54611,4,0,0,3,0,0,7,2478,2838,784,1805,1586,835,956,857,91,759,472,84,3,0,0,0,3,4,8
3,6451,6076,9660,15948,7032,9464,54631,1,0,1,3,1,2,8,2409,2925,734,1943,1566,844,1003,876,59,802,466,81,1,0,0,0,3,4.1,13
4,6371,6113,9474,15870,7028,9491,54347,0,0,0,6,1,1,8,2422,2897,752,1878,1595,903,977,871,74,716,489,82,1,1,1,0,5,11.2,22
5,6419,6048,9411,15825,6993,9518,54214,1,1,8,14,2,4,30,2450,2798,754,1906,1549,839,975,803,81,788,440,83,3,1,1,0,16,18.4,58
6,6450,6016,9454,15844,7080,9405,54249,3,10,11,29,6,7,66,2376,2796,765,1909,1582,857,944,829,71,744,450,83,13,7,1,0.002,29,18.4,120
7,6469,6004,9382,15863,6954,9369,54041,16,7,9,32,16,10,90,2420,2855,707,1916,1542,853,941,841,62,753,472,79,17,9,1,0.003,47,27.2,219
8,6419,6050,9391,15769,6997,9505,54131,46,8,17,63,11,21,166,2373,2880,723,1940,1600,859,915,866,74,736,471,83,36,12,1,0.004,72,27.2,369
9,6427,6021,9340,15671,6985,9288,53732,64,15,22,76,25,19,221,2306,2797,742,1828,1537,832,916,812,78,684,467,100,45,18,1,0.006,92,27.2,568
10,6565,6046,9466,15686,6877,9550,54190,76,30,22,111,29,41,309,2353,2798,739,1833,1612,857,966,860,91,737,496,82,73,28,1,0.009,121,27.2,848
11,6675,6019,9237,15554,7030,9422,53937,111,39,40,152,48,61,451,2519,2856,713,1857,1538,862,987,871,76,725,465,116,99,34,1,0.01,177,33.7,1279
12,6506,5954,9330,15616,7000,9359,53765,141,61,70,258,89,73,692,2401,2790,773,1769,1522,839,949,857,84,724,464,94,146,52,1,0.016,256,37.4,1930
13,6451,5954,9323,15670,6989,9492,53879,187,97,85,336,103,116,924,2387,1972,762,1847,1542,844,940,576,68,783,472,94,180,59,1,0.02,352,38.9,2839
14,7118,5923,9396,15585,7005,9228,54255,296,128,119,435,139,151,1268,2602,1922,747,1852,1511,852,1055,584,83,724,441,78,266,96,1,0.032,433,44.4,4067
15,7533,5943,9192,15422,6760,9264,54114,434,156,154,563,167,219,1693,2823,1943,741,1797,1507,823,1088,568,75,741,449,94,341,121,1,0.04,597,44.4,5679
16,7635,5792,9028,15210,6916,9034,53615,643,209,203,725,243,272,2295,2850,1958,706,1799,1558,831,1104,602,72,688,503,86,483,168,1,0.055,777,50.8,7807
17,7525,5702,8988,14848,6648,9135,52846,845,247,265,933,294,310,2894,2707,1823,780,1776,1469,833,1046,566,86,737,471,92,648,211,1,0.07,971,50.8,10506
18,7481,5634,8704,14438,6602,8767,51626,909,311,341,1225,359,456,3601,2759,1828,700,1787,1467,755,1109,565,70,731,435,70,721,235,1,0.079,1172,50.8,13849
19,7360,5451,8251,14018,6332,8384,49796,1100,425,435,1523,496,520,4499,2724,1735,666,1677,1367,784,1066,517,76,646,436,75,977,343,1,0.122,1458,52,18109
20,7138,5061,8127,13585,5959,8065,47935,1367,516,540,1878,532,660,5493,2671,1709,638,1565,1318,762,1044,504,58,650,424,73,1107,369,1,0.134,1788,55.5,23345
21,6592,4986,7713,12812,5683,7790,45576,1612,628,621,2256,678,794,6589,2493,1674,629,1528,1257,699,1010,497,52,626,378,83,1344,468,1,0.177,2057,57.3,29564
22,6065,4639,7233,11806,5449,7191,42383,1700,681,855,2640,846,883,7605,2206,1537,611,1354,1175,623,896,473,69,548,355,62,1475,491,1,0.204,2298,58.3,36769
23,5594,4219,6445,10838,4942,6548,38586,1795,844,880,2959,905,1075,8458,2067,1388,515,1281,1157,589,805,394,58,492,332,56,1634,520,1,0.243,2484,60,45010
24,4964,3681,5816,9593,4368,5766,34188,1942,836,936,3123,980,1190,9007,1888,1200,452,1108,964,507,775,384,44,477,289,41,1750,614,1,0.305,2565,60,53644
25,4233,3300,5066,8327,3761,5094,29781,1850,875,1040,3185,1008,1232,9190,1611,1097,394,995,897,465,660,334,39,372,285,53,1811,614,1,0.352,2511,60,62533
1,6717,6006,9432,15937,7078,9630,54800,0,0,0,0,0,0,0,2418,2783,751,1939,1518,854,921,839,67,784,471,84,0,0,0,0,0,0,0
1,6726,5918,9523,15905,7105,9577,54754,0,1,0,0,0,0,1,2505,2761,728,1831,1554,841,993,833,72,749,462,88,1,0,0,0,0,0,0
1,6715,6003,9561,15839,7141,9697,54956,0,0,1,1,0,1,3,2521,2783,773,1862,1556,826,1038,838,76,733,464,83,0,0,0,0,1,0,2
2,6627,6137,9457,15777,7300,9365,54663,1,3,3,4,2,2,15,2393,2891,729,1882,1636,832,950,858,68,758,507,98,2,0,0,0,5,4,15
3,6707,6129,9624,15720,7029,9401,54610,4,2,4,5,3,0,18,2478,2971,778,1848,1575,796,1017,877,93,699,474,96,4,2,1,0.001,7,28.6,34
4,6613,6060,9475,15790,7016,9513,54467,5,1,2,6,4,0,18,2443,2884,732,1843,1513,881,989,854,78,734,462,84,5,3,1,0.001,9,28.6,53
5,6565,6015,9501,15888,7047,9668,54684,3,0,1,9,3,3,19,2520,2854,763,1826,1574,893,1017,893,79,737,464,92,1,0,1,0,12,28.6,73
6,6449,6035,9532,16057,7165,9624,54862,4,3,4,12,1,5,29,2405,2828,777,1908,1577,803,988,886,82,747,467,80,6,2,1,0.001,11,45.6,99
7,6438,6048,9585,16040,7183,9547,54841,9,6,5,15,5,1,41,2380,2868,724,1865,1583,871,986,873,69,740,478,75,11,3,1,0.001,20,45.6,144
8,6516,6128,9716,16125,7030,9494,55009,12,1,4,20,6,5,48,2433,2919,773,1872,1631,818,1000,875,64,751,475,93,9,1,1,0,25,45.6,186
9,6474,6243,9531,16084,7020,9597,54949,15,6,4,26,7,11,69,2480,2907,773,1915,1538,878,1005,846,89,761,470,83,11,4,1,0.001,30,45.6,248
10,6555,6117,9597,15945,7135,9519,54868,26,17,12,44,13,6,118,2457,2895,792,1817,1529,837,999,856,85,744,475,77,30,11,1,0.003,50,45.6,354
11,6488,6111,9510,16144,7113,9711,55077,55,15,20,62,16,22,190,2430,2837,802,1851,1579,955,933,838,77,729,469,109,43,14,1,0.004,82,45.6,534
12,6517,6087,9646,15990,7117,9465,54822,74,28,21,81,26,33,263,2396,2900,745,1862,1557,889,948,865,67,730,461,91,72,27,1,0.009,113,45.6,781
13,6462,6044,9616,16162,6938,9798,55020,102,39,45,135,28,44,393,2359,2016,795,1970,1569,895,900,585,94,814,489,74,86,27,1,0.009,168,45.6,1162
14,7255,6064,9549,15905,7243,9413,55429,155,57,38,184,54,62,550,2706,2066,729,1915,1531,868,1049,586,80,756,478,82,118,35,1,0.012,235,60,1665
15,7546,6032,9699,16089,6928,9441,55735,251,60,84,267,81,101,844,2754,2009,743,1904,1490,839,1080,606,79,732,461,82,161,48,1,0.016,332,60,2440
16,7789,6230,9644,15952,7062,9522,56199,311,100,111,360,141,137,1160,2906,2057,699,1938,1503,885,1174,613,74,746,459,81,245,82,1,0.026,440,64.4,3509
17,7978,6279,9536,15886,7052,9474,56205,414,140,135,582,154,180,1605,2934,2151,779,1906,1495,826,1213,664,72,743,427,89,320,117,1,0.036,599,69.8,5020
18,8087,6106,9235,15795,6966,9467,55656,607,163,206,796,224,257,2253,2965,2025,756,1755,1545,847,1140,615,69,665,460,93,461,160,1,0.053,789,79.3,7169
19,8022,5800,9353,15387,6918,9321,54801,780,279,324,1002,299,408,3092,3006,1901,693,1812,1489,811,1205,611,70,719,441,87,644,231,1,0.074,1034,80.1,10090
20,7762,5812,9106,15169,6801,9057,53707,1004,355,327,1249,422,433,3790,2793,1919,700,1781,1527,806,1135,644,61,700,488,82,768,287,1,0.092,1223,81.6,13681
21,7606,5689,8822,14702,6524,8918,52261,1121,371,446,1554,482,569,4543,2784,1917,717,1693,1472,846,1112,565,80,675,449,72,912,310,1,0.105,1386,81.6,17956
22,7308,5400,8422,13979,6350,8492,49951,1268,450,506,1770,586,644,5224,2663,1768,622,1634,1439,725,1090,539,60,641,430,79,1060,382,1,0.135,1558,81.6,23040
23,7014,5142,7978,13366,6065,8171,47736,1345,511,614,1955,619,706,5750,2606,1731,635,1570,1348,737,1026,520,64,629,430,71,1131,385,1,0.141,1707,87.8,28530
24,6495,4764,7576,12660,5784,7650,44929,1335,566,675,2163,695,777,6211,2440,1627,596,1469,1290,688,976,503,50,580,389,69,1239,443,1,0.173,1823,87.8,34473
25,5988,4668,7163,11797,5354,7016,41986,1446,666,721,2186,719,823,6561,2213,1541,532,1314,1202,631,874,468,55,545,362,66,1274,423,1,0.178,1976,87.8,40812
1,6721,5997,9400,15808,7121,9729,54776,0,0,0,0,0,0,0,2509,2869,816,1904,1605,868,997,863,78,757,493,98,0,0,0,0,0,0,0
1,6726,5990,9607,15952,7092,9618,54985,0,1,0,0,0,0,1,2496,2863,806,1920,1572,874,978,873,74,750,483,81,0,0,0,0,1,0,0
2,6555,6147,9616,15890,7108,9518,54834,0,0,0,0,0,0,0,2460,2884,774,1879,1580,859,962,864,90,737,453,90,0,0,0,0,0,1.4,1
1,6739,5957,9530,15870,7129,9452,54677,0,1,0,0,0,0,1,2549,2797,812,1869,1535,891,966,873,69,719,476,96,0,0,0,0,1,0,0
2,6550,5963,9441,15854,7006,9706,54520,4,0,0,0,1,1,6,2409,2761,779,1888,1528,908,1001,852,75,770,459,100,2,0,0,0,3,1.4,6
3,6529,6026,9395,15687,7198,9536,54371,8,0,0,5,2,1,16,2440,2861,758,1873,1669,810,958,850,75,763,512,85,5,2,1,0.001,6,2.2,19
4,6450,6034,9416,15727,7164,9337,54128,9,3,1,9,3,4,29,2422,2820,788,1937,1534,849,950,861,77,760,464,87,6,2,1,0.001,10,3.6,44
5,6460,6007,9474,15888,6912,9471,54212,13,3,3,21,9,8,57,2358,2842,782,1828,1522,853,954,813,80,722,452,79,24,6,1,0.002,16,12,102
6,6511,6077,9408,15834,7045,9505,54380,14,5,8,33,8,13,81,2403,2932,744,1904,1498,893,965,881,63,739,475,88,13,5,1,0.002,27,12,177
7,6467,6016,9555,15884,7028,9368,54318,21,8,16,40,8,20,113,2367,2884,751,1854,1510,792,968,824,71,751,440,85,13,8,1,0.003,35,13,279
8,6472,6174,9470,15928,6883,9510,54437,45,26,7,58,15,14,165,2363,2857,770,1895,1518,873,927,865,80,761,423,95,39,14,1,0.004,58,14.3,446
9,6621,6049,9401,15767,7073,9349,54260,76,11,26,75,32,28,248,2481,2851,790,1916,1556,852,1028,866,89,800,491,81,54,19,1,0.006,78,14.3,694
10,6557,5958,9461,15815,6884,9421,54096,102,23,30,101,35,38,329,2411,2838,756,1957,1477,891,996,911,72,762,443,80,72,30,1,0.009,108,16.1,995
11,6458,5957,9355,15661,6829,9411,53671,93,30,32,148,33,44,380,2351,2765,750,1808,1533,847,940,826,68,757,438,97,83,24,1,0.008,132,16.6,1340
12,6438,5933,9448,15535,6984,9273,53611,102,36,64,188,56,75,521,2392,2777,741,1875,1508,827,947,853,66,769,437,91,96,42,1,0.013,165,16.8,1844
13,6378,6024,9166,15520,6838,9350,53276,143,74,88,270,78,80,733,2346,2003,728,1799,1515,865,968,593,72,751,458,74,124,41,1,0.014,218,34.2,2580
14,7147,5935,9157,15371,6905,9246,53761,240,97,112,359,102,117,1027,2598,1948,719,1802,1480,813,1043,595,67,741,446,84,206,62,1,0.021,277,88.6,3571
15,7604,5781,9315,15432,6810,9247,54189,342,111,140,413,132,146,1284,2820,1917,751,1763,1544,850,1136,548,56,680,473,82,257,101,1,0.034,350,89,4803
16,7663,5895,9248,15319,6736,9205,54066,367,140,152,535,152,222,1568,2832,1939,732,1817,1469,790,1130,568,73,740,460,68,309,98,1,0.032,390,89,6279
17,7757,5790,8948,15049,6770,9041,53355,467,168,185,626,186,248,1880,2822,1894,717,1760,1498,786,1123,552,67,658,459,75,367,125,1,0.043,467,89,8098
18,7714,5662,9171,14918,6601,8827,52893,524,199,230,711,225,245,2134,2835,1871,766,1781,1407,734,1095,552,76,702,444,78,433,139,1,0.047,537,89,10205
19,7567,5780,8795,14608,6502,8744,51996,565,244,210,761,241,270,2291,2794,1924,715,1696,1481,779,1141,582,69,668,437,86,511,187,1,0.063,585,89,12364
20,7531,5482,8581,14367,6355,8497,50813,655,184,269,751,221,293,2373,2815,1811,681,1621,1337,768,1162,522,51,639,416,91,456,154,1,0.053,632,89,14575
21,7288,5343,8506,14126,6186,8490,49939,688,244,259,839,271,319,2620,2699,1752,677,1626,1363,730,1102,525,61,642,389,75,537,180,1,0.064,714,89,17077
22,7106,5362,8253,13687,6219,8254,48881,689,238,267,866,269,322,2651,2579,1763,697,1640,1356,743,1037,526,57,640,420,75,515,167,1,0.061,751,89,19562
23,7026,5117,8120,13532,5988,8096,47879,730,259,297,891,315,349,2841,2654,1688,634,1650,1345,738,1073,478,66,623,407,61,595,202,1,0.075,843,89,22355
24,6742,5086,7706,12902,5829,7886,46151,715,246,292,947,310,332,2842,2583,1680,637,1503,1270,693,1042,498,63,587,381,68,559,184,1,0.07,901,89,25027
25,6507,4743,7581,12571,5736,7696,44834,811,257,326,1064,334,389,3181,2370,1481,632,1557,1264,687,952,460,55,650,374,80,642,235,1,0.091,1053,89,28085
1,6767,6087,9449,15769,7048,9516,54636,0,1,0,0,0,0,1,2518,2906,737,1852,1559,814,977,890,82,738,476,76,0,0,0,0,1,0,0
2,6627,6046,9455,15707,7130,9462,54427,3,0,0,0,0,0,3,2462,2897,746,1806,1612,800,967,848,68,708,479,66,1,0,0,0,2,1.4,3
3,6491,6106,9427,15691,7087,9515,54317,2,0,0,0,1,0,3,2381,2851,724,1875,1624,855,949,849,70,739,496,84,1,0,0,0,1,2,5
4,6573,5961,9390,15736,7008,9441,54109,3,0,0,3,0,0,6,2481,2837,786,1886,1523,776,997,838,68,740,461,61,2,0,0,0,2,2,9
5,6458,5894,9494,15719,7097,9378,54040,0,0,3,6,0,0,9,2381,2775,724,1884,1604,769,920,841,70,779,461,78,1,1,1,0,4,5.7,19
6,6425,6102,9501,15861,7027,9590,54506,0,3,4,4,4,2,17,2286,2778,774,1934,1531,853,917,853,86,769,477,91,2,0,1,0,7,5.7,41
7,6643,6044,9447,15880,7124,9383,54521,8,0,2,6,0,3,19,2426,2829,779,1848,1620,875,961,860,66,720,439,76,5,2,1,0.001,10,7.2,62
8,6593,6093,9434,15971,6924,9552,54567,6,6,2,5,4,0,23,2466,2894,739,1927,1515,871,986,874,74,763,435,84,7,3,1,0.001,10,21,83
9,6583,6006,9433,15905,7099,9603,54629,9,3,4,13,2,4,35,2453,2784,751,1919,1578,909,991,873,64,763,475,84,6,3,1,0.001,15,22,115
10,6525,5984,9570,15982,7148,9550,54759,24,1,7,16,4,4,56,2490,2787,751,1829,1602,866,982,829,81,735,480,73,10,2,1,0.001,30,22,169
11,6422,6118,9587,15854,7057,9517,54555,25,5,7,28,12,12,89,2399,2881,779,1891,1606,874,948,869,75,754,487,98,26,5,1,0.002,35,22.1,245
12,6484,6116,9344,15867,7085,9513,54409,31,7,17,48,13,17,133,2316,2884,743,1878,1610,814,888,860,75,725,474,87,20,8,1,0.003,55,37.1,374
13,6549,5978,9581,16005,7134,9517,54764,41,11,28,82,18,33,213,2435,1928,724,1938,1535,877,983,612,61,772,438,88,33,13,1,0.004,84,37.1,580
14,7324,6130,9591,15950,7032,9607,55634,80,27,30,142,31,45,355,2798,2047,762,1869,1476,799,1129,624,81,779,426,80,71,19,1,0.006,122,37.1,926
15,7657,6113,9556,15764,7125,9390,55605,142,30,36,157,40,59,464,2786,2040,793,1886,1582,791,1075,607,82,775,465,66,98,42,1,0.014,149,37.1,1375
16,7891,6032,9358,15739,7018,9405,55443,178,47,47,178,64,64,578,2862,1944,773,1901,1618,829,1176,577,84,755,492,70,131,34,1,0.011,201,37.1,1922
17,8116,5961,9325,15574,6991,9479,55446,223,57,67,265,74,90,776,2974,1919,741,1850,1557,866,1198,570,74,752,447,77,155,52,1,0.017,249,37.1,2643
