Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6660,5928,9447,15864,7086,9589,54574,0,1,0,0,0,0,1,2453,2771,810,1888,1585,844,1005,805,93,746,477,84,1,0,0,0,0,0,0
1,6728,5948,9519,15899,7110,9388,54592,0,0,0,0,0,0,0,2587,2766,780,1974,1540,836,1027,828,78,785,434,79,0,0,0,0,0,0,0
1,6722,5968,9520,15782,7090,9446,54528,0,1,0,0,0,0,1,2526,2845,838,1788,1521,834,990,845,101,713,448,75,0,0,0,0,1,0,0
2,6490,6035,9464,15839,6975,9568,54371,1,0,0,0,0,0,1,2393,2930,768,1854,1535,837,950,888,77,759,482,69,1,1,1,0,0,5,1
1,6703,6013,9545,15830,7032,9596,54719,0,0,1,2,0,0,3,2480,2850,778,1870,1530,808,992,841,94,721,467,65,0,0,0,0,2,0,3
2,6559,6032,9582,15768,7110,9452,54503,1,0,2,3,0,0,6,2385,2727,766,1818,1577,862,942,811,76,748,460,84,3,2,1,0.001,2,2.8,12
1,6784,5953,9684,15792,7100,9563,54876,0,0,0,1,0,0,1,2500,2762,811,1832,1575,846,963,803,64,725,481,97,0,0,0,0,1,0,1
2,6599,6155,9529,15837,7118,9450,54688,0,0,0,1,0,0,1,2478,2883,760,1868,1576,822,1021,904,74,742,471,73,1,0,0,0,0,1.4,3
1,6742,6059,9594,15807,7044,9565,54811,0,1,0,0,0,0,1,2523,2829,764,1802,1522,836,1018,807,63,690,432,94,1,1,1,0,0,0,0
1,6720,6030,9600,15926,7117,9515,54908,0,0,2,0,0,0,2,2509,2802,765,1868,1568,849,978,822,84,751,494,67,0,0,0,0,1,0,1
2,6630,6058,9515,15898,7065,9624,54790,0,1,0,0,0,0,1,2442,2870,761,1860,1569,854,982,868,84,743,485,95,0,0,0,0,1,9.4,1
3,6561,6084,9486,15753,7127,9712,54723,2,0,0,0,0,1,3,2416,2844,765,1928,1552,851,959,876,79,770,448,66,0,0,0,0,3,9.8,5
4,6595,6126,9387,15833,7232,9726,54899,4,0,0,2,1,0,7,2428,2876,760,1891,1622,864,912,864,68,751,474,81,1,0,0,0,4,10.3,9
5,6542,6051,9576,15943,7276,9579,54967,5,0,1,5,0,0,11,2471,2879,746,1851,1602,860,961,876,75,741,494,90,1,0,0,0,7,10.8,18
6,6516,6184,9495,16101,7109,9553,54958,3,0,3,6,1,2,15,2378,2876,688,1842,1570,829,948,845,77,733,497,82,4,2,1,0.001,8,24.8,32
7,6614,6071,9606,16190,7129,9629,55239,2,2,2,8,4,2,20,2468,2873,768,1868,1590,875,976,875,90,742,474,74,5,3,1,0.001,7,24.8,51
8,6533,6113,9741,16185,7188,9699,55459,1,3,8,14,2,8,36,2354,2797,774,1871,1537,903,976,853,80,763,457,99,7,3,1,0.001,13,24.8,92
9,6695,6226,9700,16388,7127,9706,55842,5,6,6,15,5,6,43,2489,2938,784,1932,1529,879,981,840,86,754,436,86,14,4,1,0.001,21,54.6,140
10,6711,6207,9726,16370,7154,9812,55980,7,7,4,25,9,11,63,2472,2883,786,1899,1647,844,990,883,62,787,492,71,14,3,1,0.001,30,57.8,204
11,6731,6254,9815,16307,7309,9766,56182,19,8,11,47,9,19,113,2511,2947,827,1917,1619,881,998,924,85,775,478,83,21,5,1,0.001,43,59,312
12,6700,6360,9772,16383,7263,9929,56407,34,20,24,75,24,28,205,2473,2945,765,1984,1613,911,1001,885,68,797,477,85,49,18,1,0.005,75,59.1,519
