Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6718,5977,9696,15808,7074,9625,54898,0,1,0,0,0,0,1,2505,2806,797,1898,1508,847,998,822,67,750,448,87,0,0,0,0,1,0,0
2,6625,6202,9480,15776,7243,9365,54691,1,0,0,0,0,0,1,2449,2904,803,1795,1575,809,987,881,80,711,450,77,1,1,1,0,0,2.8,1
1,6777,5976,9578,15849,7036,9474,54690,0,1,0,0,0,0,1,2435,2814,823,1827,1590,859,1008,847,81,776,492,94,0,0,0,0,1,0,0
2,6671,6091,9537,15820,7044,9447,54610,1,0,0,0,0,0,1,2521,2838,748,1841,1584,850,1031,807,66,748,492,82,0,0,0,0,1,3.2,1
3,6618,6093,9469,15714,7014,9598,54506,3,0,0,0,0,0,3,2481,2863,728,1883,1575,810,992,866,70,781,470,70,2,1,1,0,1,3.2,3
4,6563,6038,9549,15937,7160,9557,54804,1,0,0,0,0,0,1,2386,2891,719,1879,1607,856,946,881,82,780,469,84,0,0,1,0,1,4.5,3
1,6739,5927,9650,15867,7146,9624,54953,0,1,0,0,0,0,1,2488,2826,783,1851,1562,849,1010,823,78,755,498,88,0,0,0,0,1,0,0
2,6509,6163,9543,15832,7256,9534,54837,4,0,0,0,0,0,4,2388,2870,768,1903,1625,856,982,858,74,756,514,67,2,1,1,0,2,2.2,3
3,6602,6111,9549,15798,7089,9425,54574,5,0,0,1,0,0,6,2544,2844,695,1829,1552,851,1044,898,79,710,491,89,3,1,1,0,3,2.2,7
4,6511,6150,9543,15906,7069,9578,54757,5,0,0,1,0,0,6,2463,2864,764,1838,1525,817,982,832,80,752,461,73,4,4,1,0.001,2,3.2,13
5,6550,5946,9512,15732,7205,9535,54480,4,0,0,0,0,1,5,2399,2874,769,1889,1533,850,940,860,81,746,445,73,1,1,1,0,3,3.2,16
6,6421,6112,9439,15900,7117,9538,54527,5,0,0,1,1,0,7,2293,2843,779,1914,1567,871,943,836,77,794,476,102,3,1,1,0,3,3.2,20
7,6541,5914,9681,15959,7141,9386,54622,3,0,0,2,1,1,7,2390,2756,782,1855,1561,843,989,841,81,732,460,67,1,0,1,0,4,3.2,24
8,6536,6120,9566,16027,6938,9578,54765,2,1,1,3,1,2,10,2424,2856,802,1892,1508,882,947,854,86,737,474,69,2,1,1,0,4,3.2,32
9,6595,6100,9550,16028,7029,9401,54703,3,0,0,6,3,3,15,2452,2884,780,1845,1568,785,987,831,87,748,491,74,3,2,1,0.001,5,3.2,45
10,6595,6066,9568,15984,7008,9628,54849,3,1,3,10,4,3,24,2447,2885,751,1845,1554,855,1004,891,75,741,472,87,2,0,1,0,9,16.2,68
11,6530,6100,9560,15977,7183,9576,54926,12,4,6,11,0,0,33,2443,2828,751,1848,1558,853,956,834,59,802,441,82,16,1,1,0,13,18.4,107
12,6523,6072,9547,16086,7156,9648,55032,10,0,0,2,2,1,15,2490,2834,748,1827,1578,872,997,791,64,714,462,109,5,1,1,0,6,18.4,127
13,6456,6111,9684,16201,7173,9597,55222,4,0,2,5,0,2,13,2401,2870,791,1900,1658,859,941,878,71,771,506,81,2,1,1,0,7,18.4,142
14,6528,6196,9596,16148,7141,9488,55097,1,3,3,4,3,5,19,2410,2878,802,1885,1636,867,976,885,71,740,478,84,5,1,1,0,7,23,162
15,6635,6135,9632,16079,7069,9706,55256,6,0,2,6,2,0,16,2457,2879,700,1894,1487,855,963,895,78,769,466,82,2,0,1,0,8,23,181
16,6616,6196,9649,16187,7251,9702,55601,9,4,0,4,1,2,20,2392,2931,785,1843,1569,844,940,915,70,707,465,80,7,1,1,0,9,24,199
17,6691,6122,9943,16355,7230,9856,56197,9,2,4,8,2,1,26,2454,2880,763,1942,1612,903,975,858,72,776,483,103,6,1,1,0,12,24,224
18,6685,6311,9658,16209,7352,9890,56105,5,5,4,7,2,8,31,2453,2633,782,1955,1610,884,1002,758,66,807,504,108,5,3,1,0.001,13,24,253
19,7012,6140,9762,16375,7335,9683,56307,13,3,3,8,6,0,33,2551,2624,801,1942,1606,874,1037,765,85,769,471,86,8,4,1,0.001,14,29.4,279
20,7114,6229,9754,16504,7223,9892,56716,19,3,4,13,9,9,57,2595,2646,808,1965,1624,880,1029,822,78,788,481,100,13,5,1,0.002,22,32,334
21,7241,6153,9948,16457,7315,9790,56904,25,4,8,24,8,4,73,2622,2498,797,1973,1585,922,1065,738,64,761,451,93,14,6,1,0.002,32,33.2,399
22,7400,6270,9914,16454,7217,9788,57043,45,10,7,30,9,19,120,2701,2595,803,1920,1563,863,1115,821,81,792,482,93,26,9,1,0.003,49,43.4,512
