Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6712,5935,9619,15951,7090,9444,54751,0,2,0,0,0,0,2,2440,2781,828,1791,1561,804,1020,850,83,707,494,88,1,1,1,0,1,0,1
2,6628,6130,9511,15863,7022,9730,54884,2,0,0,0,0,0,2,2466,2941,754,1902,1560,858,1021,847,84,761,472,76,1,0,1,0,1,3.2,3
3,6542,6032,9528,15675,7205,9452,54434,6,0,0,1,1,0,8,2440,2854,781,1925,1559,859,977,881,85,725,433,83,1,0,1,0,5,3.2,10
4,6517,6066,9431,15761,7001,9419,54195,6,0,0,6,1,5,18,2406,2840,717,1894,1545,866,939,804,76,798,467,85,5,1,1,0,5,3.2,22
5,6502,6052,9280,15794,7044,9440,54112,2,2,4,8,7,4,27,2416,2817,699,1884,1474,818,943,815,57,782,405,87,3,1,1,0,11,13,51
6,6508,5987,9356,15984,7069,9458,54362,7,4,7,17,2,1,38,2462,2759,705,1875,1578,837,1020,820,73,755,462,74,6,4,1,0.001,17,13,92
7,6504,5957,9505,15977,7017,9591,54551,8,4,7,31,6,6,62,2404,2840,728,1956,1551,851,950,845,87,765,460,82,9,3,1,0.001,28,14.8,149
8,6462,6093,9450,15656,7149,9449,54259,12,7,13,50,12,20,114,2425,2827,775,1889,1567,844,950,830,82,722,452,82,19,7,1,0.002,49,22.1,268
9,6498,5945,9238,15685,6921,9557,53844,34,10,14,68,20,32,178,2386,2750,786,1889,1611,838,967,822,82,750,489,98,30,10,1,0.003,73,22.1,455
10,6540,5794,9232,15520,7083,9313,53482,55,22,21,101,31,46,276,2470,2794,760,1820,1563,843,988,835,61,724,467,87,50,21,1,0.007,113,36.4,736
11,6268,5881,9373,15691,6903,9141,53257,78,34,31,117,48,43,351,2329,2757,749,1801,1512,850,961,888,67,694,451,89,70,21,1,0.007,160,36.4,1086
12,6245,5884,9402,15718,6777,9505,53531,160,42,50,175,50,61,538,2313,2655,702,1827,1549,871,957,772,73,740,466,69,105,34,1,0.011,229,38.6,1622
13,6352,6043,9251,15552,7043,9284,53525,201,72,78,258,96,76,781,2431,2000,727,1951,1862,496,924,630,64,770,563,43,182,64,1,0.021,319,50,2315
14,7060,5886,9095,15142,7141,9307,53631,325,90,96,371,110,124,1116,2581,1889,738,1949,1819,534,1033,604,84,812,553,59,222,79,1,0.025,446,63.6,3374
15,7452,5699,8905,14907,7127,8951,53041,477,133,138,531,165,173,1617,2816,1901,673,1868,1853,511,1109,523,79,771,557,47,346,127,1,0.041,577,63.6,4888
16,7430,5660,8747,14772,6832,8801,52242,628,162,187,707,208,245,2137,2712,1867,768,1888,1798,520,1082,583,76,724,547,57,461,147,1,0.048,744,63.6,6842
17,7417,5471,8634,14320,6671,8625,51138,692,244,242,909,299,336,2722,2829,1796,705,1807,1754,452,1164,538,71,688,514,44,574,214,1,0.071,888,63.6,9357
18,7181,5443,8265,13855,6516,8431,49691,862,298,310,1147,357,400,3374,2617,1778,666,1810,1604,437,1057,500,64,692,466,47,667,239,1,0.085,1121,63.6,12604
19,7099,5153,8085,13365,6345,7986,48033,1075,365,412,1433,473,513,4271,2598,1707,643,1682,1646,438,1021,508,62,688,494,45,891,302,1,0.107,1363,63.6,16707
20,6783,5000,7744,12884,5926,7735,46072,1200,438,532,1722,551,643,5086,2522,1600,648,1667,1537,429,992,464,66,694,457,43,990,363,1,0.134,1599,63.6,21517
21,6441,4749,7302,11948,5729,7161,43330,1389,576,575,1981,686,718,5925,2429,1631,582,1524,1459,353,967,482,49,649,450,36,1263,446,1,0.169,1828,66.5,27255
22,5947,4437,6864,11190,5215,6686,40339,1563,635,703,2273,708,816,6698,2215,1474,559,1453,1321,377,893,429,53,561,400,29,1400,491,1,0.208,2047,66.5,33606
23,5476,4119,6273,10244,4753,6172,37037,1640,702,771,2489,789,891,7282,2006,1351,471,1290,1238,342,818,408,46,508,353,30,1467,512,1,0.237,2160,66.5,40468
24,5001,3727,5428,9195,4353,5550,33254,1721,769,763,2620,823,918,7614,1839,1262,438,1130,1061,294,746,405,48,450,319,30,1542,538,1,0.269,2227,66.5,47774
25,4415,3167,4889,8141,3887,4968,29467,1819,751,882,2656,901,991,8000,1643,985,382,976,1064,305,661,292,30,392,351,26,1584,543,1,0.31,2275,66.5,55466
1,6687,5975,9482,15728,7053,9516,54441,0,0,1,1,0,0,2,2467,2816,724,1899,1543,833,996,809,62,757,496,84,1,0,0,0,1,0,2
2,6559,6055,9345,15719,7045,9373,54096,0,0,0,1,0,0,1,2506,2897,759,1840,1584,830,1006,849,77,776,469,101,0,0,0,0,1,3.6,2
