Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6657,5987,9497,15833,7097,9517,54588,0,1,0,0,0,0,1,2426,3111,751,1863,1572,858,988,936,72,758,437,82,0,0,0,0,1,0,0
2,6313,5998,9392,15735,7127,9456,54021,4,0,0,3,1,0,8,2311,3117,777,1957,1565,920,913,919,81,749,468,102,1,1,1,0,4,3,8
3,6130,5919,9426,15559,6935,9532,53501,9,0,0,5,4,2,20,2332,3119,703,1803,1513,857,965,895,78,708,424,81,8,5,1,0.002,8,3.6,23
4,5883,5991,9414,15651,7067,9359,53365,6,3,3,14,2,4,32,2210,3079,703,1864,1630,850,889,932,53,745,498,86,9,3,1,0.001,14,8.5,52
5,5864,6053,9302,15531,6960,9378,53088,13,5,4,17,5,5,49,2127,3098,726,1810,1513,866,862,919,64,767,456,93,11,4,1,0.001,20,32.6,99
6,6045,5969,9276,15590,6982,9236,53098,22,5,10,26,7,10,80,2286,3086,716,1818,1536,813,888,918,69,737,446,79,22,8,1,0.003,35,32.6,173
7,5924,5974,9512,15671,6858,9382,53321,23,1,12,37,8,14,95,2208,3126,725,1803,1531,853,908,976,69,708,441,93,14,5,1,0.002,39,32.6,260
8,5804,6111,9362,15767,6957,9499,53500,40,13,11,49,14,20,147,2130,3159,768,1895,1515,865,835,978,80,757,465,79,38,17,1,0.005,60,32.6,392
9,5932,6010,9466,15827,7017,9336,53588,63,11,19,61,24,25,203,2108,3117,766,1862,1502,778,830,941,76,749,425,91,47,14,1,0.004,82,32.6,584
10,5975,5980,9496,15875,6939,9516,53781,67,26,36,113,31,39,312,2185,3160,771,1936,1564,826,874,919,69,818,488,80,61,17,1,0.005,123,32.6,881
11,5912,6009,9371,15665,7092,9369,53418,92,51,52,165,54,48,462,2232,3110,768,1846,1540,805,896,923,73,804,467,67,105,41,1,0.013,185,34,1319
12,5829,5918,9437,15678,7003,9367,53232,140,68,70,220,68,74,640,2130,3055,746,1816,1572,780,839,921,75,720,453,72,142,52,1,0.017,264,48.9,1947
13,5820,6058,9164,15589,6971,9456,53058,196,87,71,292,83,100,829,2134,3155,779,1872,1563,845,859,935,84,761,477,92,184,56,1,0.017,332,48.9,2729
14,5800,5763,9147,15520,7054,9430,52714,235,94,105,391,130,135,1090,2124,3044,707,1847,1559,858,824,894,93,753,452,90,220,62,1,0.02,401,48.9,3762
15,5673,5812,9288,15536,6943,9344,52596,278,148,158,541,164,189,1478,2133,3086,766,1847,1575,866,843,882,80,725,489,91,297,87,1,0.028,533,48.9,5208
16,5510,5948,9180,15388,6900,9367,52293,393,193,206,749,217,266,2024,2058,3093,760,1880,1489,835,837,941,89,757,453,75,438,140,1,0.044,661,56.9,7131
17,5511,5816,8961,15156,6871,9301,51616,490,249,223,943,302,323,2530,2078,3083,667,1813,1539,836,846,977,62,744,491,93,544,188,1,0.059,820,56.9,9597
18,5365,5654,8888,14924,6783,9128,50742,554,282,325,1188,355,392,3096,1953,2890,713,1757,1464,876,792,896,71,717,463,77,651,203,1,0.067,972,56.9,12643
19,5322,5569,8725,14601,6639,8803,49659,645,351,451,1371,397,471,3686,2012,2874,734,1816,1450,801,815,869,81,695,466,71,755,274,1,0.091,1150,56.9,16271
20,5128,5363,8420,14165,6304,8440,47820,725,442,473,1546,475,562,4223,1922,2796,634,1708,1340,795,776,818,67,671,427,70,882,297,1,0.105,1319,65.3,20467
21,4922,5253,8017,13579,5997,8225,45993,854,494,535,1824,542,633,4882,1831,2722,648,1583,1277,696,683,851,63,621,362,77,1014,341,1,0.128,1485,65.3,25310
22,4703,4826,7664,12790,5870,7830,43683,929,541,616,2033,628,727,5474,1790,2546,608,1496,1323,719,754,770,56,605,418,69,1142,406,1,0.152,1637,65.3,30718
23,4350,4646,7360,12032,5512,7274,41174,1014,590,632,2118,676,771,5801,1644,2443,582,1393,1232,647,662,734,46,608,350,67,1202,415,1,0.168,1710,65.3,36364
24,4023,4427,6833,11323,5065,6707,38378,1088,595,736,2337,675,832,6263,1504,2256,529,1370,1096,596,573,666,54,538,338,64,1255,392,1,0.176,1781,68.9,42520
25,3807,4108,6274,10170,4554,6148,35061,1134,692,753,2431,699,891,6600,1426,2167,504,1177,934,562,521,654,52,472,269,50,1374,431,1,0.214,1873,70.7,49166
1,6728,6035,9472,15864,7099,9545,54743,0,0,3,1,0,0,4,2465,3122,791,1847,1612,873,984,922,79,698,456,82,1,0,0,0,1,0,3
2,6386,6067,9552,15692,7038,9410,54145,0,2,0,1,0,0,3,2400,3095,753,1830,1547,884,921,891,70,737,438,91,1,0,0,0,2,4.1,4
3,6220,6098,9424,15620,6943,9457,53762,1,0,0,3,0,1,5,2310,3128,777,1872,1507,815,954,926,77,745,482,95,0,0,0,0,3,4.5,10
4,6144,5933,9315,15624,7048,9267,53331,0,3,0,6,0,1,10,2254,3072,748,1817,1583,861,886,944,77,762,452,73,2,0,0,0,5,4.5,20
5,6026,5946,9375,15776,6860,9435,53418,4,0,2,9,3,3,21,2235,3131,755,1911,1475,875,905,916,77,756,459,77,5,2,1,0.001,7,4.5,43
6,5876,5972,9462,15742,6953,9573,53578,3,2,8,19,3,8,43,2176,3150,807,1820,1560,868,864,942,70,701,488,94,7,1,1,0,13,14,81
7,5764,5934,9411,15832,7058,9433,53432,3,8,10,24,7,6,58,2139,3099,756,1892,1581,817,847,896,75,786,472,77,11,4,1,0.001,24,26.4,139
8,5737,6004,9399,15866,6946,9407,53359,13,4,10,27,7,3,64,2091,3053,761,1871,1560,862,838,892,90,754,460,89,10,5,1,0.002,33,26.4,203
