Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6764,6035,9455,15766,7067,9604,54691,0,1,0,0,0,0,1,2533,3766,736,1797,1591,885,1030,1134,64,693,498,80,1,0,0,0,0,0,0
1,6743,5996,9457,15799,7144,9613,54752,0,0,1,0,0,0,1,2461,3680,712,1815,1579,891,963,1118,86,748,504,81,0,0,0,0,1,0,0
2,5864,6177,9464,15704,7166,9538,53913,0,0,0,1,0,0,1,2269,3811,708,1916,1574,915,892,1173,69,745,491,94,0,0,0,0,1,3.6,1
3,5257,6052,9405,15691,7041,9348,52794,0,0,0,2,2,0,4,1945,3709,782,1900,1510,800,779,1104,70,784,456,104,0,0,0,0,1,3.6,5
4,5066,6078,9451,15772,6978,9523,52868,0,3,0,3,1,0,7,1931,3788,743,1886,1497,864,754,1148,81,754,450,69,3,2,1,0.001,4,3.6,18
5,4874,6045,9457,15809,7063,9409,52657,2,0,5,3,0,1,11,1776,3715,791,1791,1534,862,684,1130,88,746,510,67,0,0,1,0,6,6.4,28
6,4810,5954,9470,16032,7008,9515,52789,2,3,1,2,0,2,10,1798,3678,753,1937,1544,828,742,1122,78,793,440,88,3,0,1,0,4,44.4,41
7,4685,6083,9473,16075,7077,9509,52902,3,0,2,2,1,1,9,1702,3770,718,1866,1622,877,679,1085,71,788,479,101,2,2,1,0.001,3,44.4,52
8,4722,6075,9464,16027,7007,9585,52880,0,2,0,4,0,0,6,1727,3735,720,1891,1575,950,683,1154,72,752,485,99,0,0,1,0,5,44.4,60
9,4768,6111,9428,15909,7033,9608,52857,6,2,0,3,3,3,17,1778,3783,702,1886,1534,843,730,1089,68,748,417,88,2,0,1,0,12,44.4,73
10,4729,6103,9545,15867,7125,9488,52857,10,0,0,4,3,0,17,1722,3873,706,1872,1613,843,716,1141,64,723,493,86,3,0,1,0,11,44.4,83
11,4644,6101,9635,15918,7158,9520,52976,4,1,2,9,0,2,18,1731,3808,773,1850,1612,822,683,1150,84,742,469,74,3,0,1,0,8,44.4,101
12,4667,6103,9717,16107,7130,9623,53347,4,2,5,12,2,4,29,1751,3755,802,1851,1557,891,687,1127,76,781,467,91,8,3,1,0.001,10,44.4,136
13,4705,6165,9685,16156,7078,9729,53518,6,3,3,16,5,7,40,1783,3860,778,1899,1529,850,729,1226,88,749,439,88,8,1,1,0,18,44.4,174
14,4637,6184,9689,16165,7260,9731,53666,14,7,6,24,8,7,66,1735,3794,804,1909,1576,892,671,1132,72,766,475,83,10,6,1,0.002,28,44.4,235
15,4684,6225,9674,16222,7244,9754,53803,18,9,7,45,13,16,108,1682,3961,802,1937,1622,908,675,1167,93,750,482,79,19,5,1,0.002,38,44.4,340
16,4708,6186,9587,16165,7253,9723,53622,33,13,13,63,14,24,160,1751,3823,736,1886,1604,844,683,1175,80,745,493,95,32,6,1,0.002,52,44.4,503
17,4774,6198,9822,16335,7175,9809,54113,37,21,22,97,21,16,214,1818,3872,794,1907,1625,894,701,1164,83,784,496,88,49,15,1,0.005,72,44.4,705
18,4745,6324,9806,16310,7246,9782,54213,28,22,23,100,26,43,242,1744,3855,788,1966,1649,929,688,1139,82,759,505,99,39,15,1,0.005,84,44.4,959
19,4895,6312,9682,16207,7173,9665,53934,58,38,50,126,30,32,334,1816,3930,758,1912,1582,834,735,1146,86,727,481,83,71,26,1,0.008,111,44.4,1306
20,4861,6176,9779,16258,7159,9756,53989,92,33,47,146,40,40,398,1718,3845,782,1896,1529,862,732,1176,80,719,426,84,79,30,1,0.009,143,44.4,1681
21,4843,6216,9669,16243,7279,9750,54000,108,52,58,205,59,62,544,1776,3909,754,1961,1579,853,690,1111,72,771,464,98,120,42,1,0.013,189,45.3,2212
22,4774,6138,9692,16209,7276,9681,53770,120,67,81,260,61,95,684,1737,3823,740,1939,1646,894,668,1191,74,794,523,97,139,58,1,0.017,244,46.6,2876
23,4750,6196,9600,16106,7079,9418,53149,163,95,99,313,108,122,900,1736,3831,744,1877,1543,824,671,1135,80,731,435,76,177,51,1,0.016,311,80.1,3751
24,4783,6123,9534,15972,6966,9663,53041,213,127,110,415,139,143,1147,1758,3856,726,1875,1510,855,743,1159,81,806,445,85,235,67,1,0.02,388,81,4843
25,4653,5969,9504,15832,7072,9534,52564,242,139,165,555,153,202,1456,1685,3676,765,1867,1536,895,713,1083,85,744,471,84,298,103,1,0.032,472,81,6257
1,6713,5995,9417,15745,7095,9420,54385,0,1,0,0,0,0,1,2488,3741,809,1901,1600,884,990,1113,75,750,491,91,0,0,0,0,1,0,0
1,6733,6013,9384,15837,7069,9610,54646,0,0,1,0,1,0,2,2588,3679,753,1874,1522,882,1041,1081,75,777,424,85,0,0,0,0,1,0,1
1,6740,5960,9570,15907,7069,9792,55038,0,0,1,1,0,1,3,2492,3673,782,1895,1543,867,981,1117,71,744,476,80,0,0,0,0,0,0,2
2,5846,6118,9500,15656,7217,9577,53914,0,0,1,1,0,1,3,2180,3734,801,1859,1618,854,871,1152,100,755,474,82,0,0,0,0,1,0,6
3,5400,6062,9357,15640,7123,9580,53162,0,0,0,2,2,0,4,1963,3802,774,1839,1527,840,783,1097,87,737,469,85,1,1,1,0,3,13.4,8
4,5052,5940,9466,15791,7134,9436,52819,0,0,1,0,1,1,3,1854,3709,716,1824,1533,862,730,1114,81,722,473,88,1,0,1,0,1,13.4,13
1,6744,6053,9423,15801,7095,9476,54592,0,0,1,1,0,0,2,2526,3705,729,1836,1526,891,1011,1138,70,766,481,81,0,0,0,0,1,0,1
2,5864,6029,9244,15753,7000,9838,53728,1,1,1,5,0,0,8,2126,3739,748,1885,1548,906,831,1088,74,750,465,73,1,1,1,0,3,3,9
3,5362,5891,9472,15705,7283,9410,53123,3,3,2,12,0,3,23,1962,3670,772,1857,1644,868,767,1073,75,724,483,61,5,3,1,0.001,12,8.1,35
4,5005,5992,9453,15870,7007,9595,52922,9,4,0,5,2,1,21,1865,3782,794,1863,1530,895,728,1160,87,739,470,88,9,3,1,0.001,11,23.1,62
5,4775,6065,9448,15993,7116,9475,52872,9,0,2,7,0,4,22,1771,3751,757,1898,1582,844,718,1126,70,745,460,91,7,2,1,0.001,7,23.1,82
6,4726,6002,9538,16128,6992,9589,52975,4,5,2,13,5,4,33,1780,3693,743,1956,1527,873,708,1109,61,807,441,91,9,1,1,0,17,23.1,114
7,4654,6150,9539,15957,7175,9626,53101,12,3,8,30,3,5,61,1771,3777,757,1794,1555,858,742,1082,79,742,429,80,11,4,1,0.001,31,23.1,170
8,4660,6133,9621,16084,7168,9719,53385,21,9,13,36,8,13,100,1703,3782,765,1932,1544,886,703,1114,74,755,438,86,31,14,1,0.004,35,42.5,263
9,4757,6122,9560,16281,7193,9765,53678,13,13,13,34,11,9,93,1757,3776,780,1860,1564,877,711,1120,85,772,474,92,21,9,1,0.003,42,42.5,357
10,4761,6112,9851,16362,7197,9708,53991,22,5,7,44,8,12,98,1755,3763,771,2007,1601,854,739,1156,77,793,477,82,23,7,1,0.002,49,42.5,443
11,4755,6309,9893,16230,7234,9589,54010,16,14,11,60,11,15,127,1750,3951,786,1898,1552,872,685,1188,69,766,459,92,33,10,1,0.003,59,42.5,566
12,4802,6265,9783,16475,7095,9890,54310,25,17,17,77,20,23,179,1739,3935,793,1916,1647,851,722,1231,79,766,489,87,36,13,1,0.004,79,42.5,749
13,4773,6245,9746,16267,7397,9916,54344,54,28,22,105,33,39,281,1788,3844,795,1880,1600,906,713,1112,71,772,483,87,69,20,1,0.006,128,42.5,1031
14,4757,6176,9739,16287,7319,9804,54082,74,38,47,134,40,39,372,1768,3832,769,1919,1634,905,710,1161,76,734,511,98,74,30,1,0.009,168,42.5,1394
15,4772,6184,9697,16378,7242,9731,54004,123,42,58,207,65,61,556,1789,3844,780,1932,1561,865,690,1123,74,755,461,81,110,40,1,0.013,239,43,1937
16,4723,6180,9811,16417,7251,9805,54187,157,79,71,310,86,107,810,1794,3783,796,1965,1642,878,749,1145,69,815,510,95,184,48,1,0.014,325,43,2707
17,4721,6240,9747,16234,7240,9854,54036,197,96,118,454,123,132,1120,1710,3835,823,1931,1600,939,703,1110,99,787,502,105,212,66,1,0.02,441,43.8,3781
18,4781,6110,9583,16107,7261,9764,53606,254,131,179,578,178,196,1516,1787,3850,782,1925,1499,924,675,1146,73,770,456,90,331,111,1,0.035,555,43.8,5256
19,4616,5996,9612,15851,7122,9481,52678,255,219,177,776,219,281,1927,1708,3692,816,1775,1555,930,688,1070,95,692,498,91,425,132,1,0.042,698,57.4,7215
20,4575,5962,9422,15701,6836,9534,52030,372,242,288,1062,289,347,2600,1700,3667,780,1797,1497,859,654,1096,82,733,456,87,525,168,1,0.054,887,77.6,9810
21,4536,5883,9169,15370,6942,9210,51110,519,344,429,1349,429,425,3495,1697,3602,744,1824,1521,849,676,1109,85,716,450,70,734,262,1,0.084,1086,77.6,13212
22,4432,5679,8970,14961,6619,8963,49624,599,418,498,1668,465,547,4195,1666,3529,700,1716,1482,806,659,1072,65,656,435,73,840,279,1,0.094,1288,77.6,17467
23,4268,5521,8619,14387,6426,8692,47913,713,502,579,1906,530,695,4925,1555,3352,688,1724,1424,795,639,1058,77,672,428,69,1022,349,1,0.119,1457,77.6,22318
24,4108,5245,8191,13476,6131,8094,45245,713,557,647,2031,616,705,5269,1453,3287,646,1567,1325,765,594,954,66,627,384,80,1098,366,1,0.135,1539,77.6,27542
25,3905,5048,7790,12779,5634,7716,42872,749,609,679,2166,653,825,5681,1408,3144,605,1491,1246,697,570,907,71,584,383,65,1194,374,1,0.145,1605,77.6,33330
1,6766,5952,9615,15781,7097,9632,54843,0,0,0,0,0,0,0,2469,3668,756,1826,1564,937,962,1054,76,750,473,99,0,0,0,0,0,0,2
1,6718,5994,9500,15741,7088,9487,54528,0,1,0,0,0,0,1,2463,3730,776,1851,1583,834,960,1125,84,708,467,87,0,0,0,0,1,0,0
2,5779,6090,9380,15645,7044,9440,53378,5,0,0,1,0,0,6,2092,3807,756,1898,1575,843,821,1126,67,768,491,92,2,1,1,0,4,3.2,6
3,5369,6015,9364,15390,7054,9534,52726,3,0,1,2,0,1,7,1923,3716,761,1835,1602,929,716,1116,81,754,491,73,1,0,1,0,4,3.2,11
4,5117,5977,9306,15547,7030,9218,52195,1,2,0,6,2,0,11,1938,3729,705,1887,1498,823,795,1086,82,799,446,83,4,1,1,0,6,6.7,22
