Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6705,6050,9446,15774,7070,9437,54482,1,0,1,1,0,1,4,2462,2571,737,1897,1599,883,942,780,86,741,457,89,1,1,1,0,0,0,3
2,6927,6033,9512,15591,6977,9466,54506,0,2,0,5,1,2,10,2629,2567,735,1839,1566,821,1087,756,56,722,484,97,5,3,1,0.001,1,15,11
3,6949,6079,9435,15478,7037,9231,54209,0,0,3,12,0,2,17,2547,2521,735,1855,1507,847,1011,802,79,762,485,73,1,1,1,0,7,16,28
4,7124,5991,9367,15561,6865,9196,54104,4,5,8,17,4,4,42,2658,2529,748,1812,1512,802,1007,786,87,736,438,76,7,1,1,0,16,20.2,70
5,7064,6031,9182,15596,6918,9524,54315,9,12,5,23,10,10,69,2578,2529,698,1798,1537,893,1002,813,72,736,476,112,18,4,1,0.001,37,29.7,137
6,7159,5874,9461,15615,7068,9215,54392,29,9,14,47,12,16,127,2739,2450,779,1878,1498,766,1078,738,70,752,469,83,26,7,1,0.002,58,30.7,260
7,6963,6103,9551,15846,6909,9286,54658,40,14,27,85,18,22,206,2542,2636,790,1843,1564,849,998,780,74,745,499,91,39,14,1,0.004,88,40.8,444
8,7059,6036,9450,15782,6873,9500,54700,65,17,30,120,31,30,293,2576,2532,729,1883,1447,801,1051,782,67,741,394,83,62,20,1,0.006,127,40.8,742
9,7148,5997,9460,15778,7072,9403,54858,79,38,47,176,49,59,448,2607,2518,734,1921,1498,832,1031,749,79,765,458,72,85,31,1,0.01,179,40.8,1170
10,7177,6038,9562,15811,6937,9576,55101,141,50,61,240,61,75,628,2713,2609,805,1901,1487,836,1083,779,81,741,452,83,127,49,1,0.015,252,40.8,1781
11,7010,6069,9403,15628,7124,9363,54597,211,78,73,283,114,95,854,2498,2593,734,1864,1551,805,1000,791,58,755,438,82,194,72,1,0.023,334,44,2633
12,7081,6014,9398,15725,6978,9537,54733,273,86,123,407,109,149,1147,2645,2466,778,1867,1494,857,1079,735,72,710,433,77,216,84,1,0.027,428,57.7,3746
