Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6758,5984,9556,15899,7165,9707,55069,0,1,0,0,0,0,1,2530,2854,721,1856,1564,896,1011,843,81,692,468,88,1,1,1,0,0,0,0
1,6796,6018,9502,15818,7090,9481,54705,0,1,0,0,0,1,2,2478,2823,694,1904,1537,867,958,843,78,731,465,89,0,0,0,0,2,0,1
2,6654,6102,9332,15763,7029,9321,54201,6,0,0,2,1,0,9,2416,2805,715,1864,1526,843,961,848,68,725,433,72,4,0,0,0,5,13.5,9
3,6712,5948,9448,15760,6916,9420,54204,4,0,1,2,1,1,9,2501,2791,772,1805,1491,805,994,839,76,710,447,75,2,1,1,0,4,13.5,15
4,6560,6029,9524,15808,7023,9562,54506,1,0,1,3,1,1,7,2392,2779,742,1813,1604,841,956,843,81,716,473,86,1,0,1,0,2,16.1,29
5,6644,6097,9532,15864,7120,9481,54738,1,0,0,2,1,0,4,2447,2894,772,1883,1556,830,964,879,89,752,488,79,0,0,1,0,3,16.1,37
6,6587,6072,9401,15885,7061,9588,54594,1,2,0,1,0,1,5,2425,2841,709,1934,1511,871,986,854,72,737,446,87,0,0,1,0,5,16.1,43
7,6569,6067,9473,15888,7148,9482,54627,4,1,0,1,1,1,8,2387,2831,749,1923,1553,865,957,855,77,751,454,87,1,1,1,0,7,16.1,49
8,6624,6040,9599,15992,7101,9726,55082,9,2,1,4,0,0,16,2445,2760,737,1858,1536,911,991,842,56,731,457,98,8,2,1,0.001,7,16.1,65
9,6692,6184,9672,16132,7194,9587,55461,13,0,2,5,0,0,20,2493,2987,801,1894,1618,873,972,897,74,747,522,91,5,1,1,0,10,16.1,79
10,6616,6195,9649,16258,7056,9767,55541,7,2,1,5,2,2,19,2417,2978,734,1942,1503,942,955,887,71,766,428,98,6,4,1,0.001,8,16.1,90
11,6652,6252,9787,16167,7212,9770,55840,5,2,2,5,1,2,17,2521,2978,757,1880,1564,865,1023,913,71,755,486,88,4,1,1,0,9,16.1,104
12,6597,6286,9826,16385,7345,9795,56234,3,2,0,8,3,4,20,2443,2980,794,1910,1597,833,968,883,81,751,497,87,9,5,1,0.002,8,18.4,124
13,6664,6170,9713,16420,7331,9745,56043,1,2,2,8,4,3,20,2457,2523,750,2004,1560,886,976,765,77,782,471,95,3,0,1,0,10,18.4,147
14,7026,6266,9791,16502,7277,9960,56822,1,6,9,19,4,7,46,2614,2621,744,1954,1608,913,1041,763,76,806,505,88,14,5,1,0.002,16,36.2,193
15,7221,6300,9791,16387,7494,9891,57084,4,9,5,17,9,7,51,2695,2665,803,1849,1632,937,1062,831,82,728,490,92,12,2,1,0.001,23,36.2,248
16,7306,6257,9986,16646,7378,9900,57473,10,7,13,36,11,14,91,2720,2625,792,1967,1540,883,1093,769,88,746,432,77,12,2,1,0.001,46,36.2,343
17,7299,6367,9996,16732,7321,9990,57705,25,10,18,51,18,9,131,2739,2649,858,2041,1611,940,1128,801,86,850,503,95,29,14,1,0.004,59,50.5,470
18,7374,6360,9797,16508,7307,10019,57365,43,15,26,72,13,29,198,2725,2714,764,1929,1601,895,1100,803,70,799,491,100,43,18,1,0.005,83,50.5,655
19,7409,6268,9690,16570,7368,9770,57075,68,23,20,79,44,25,259,2789,2668,759,1919,1649,882,1110,775,76,773,532,80,57,25,1,0.007,122,50.5,897
20,7375,6230,9847,16552,7228,9834,57066,108,28,46,147,40,46,415,2798,2505,814,2007,1581,878,1134,736,70,759,479,89,87,31,1,0.009,174,50.5,1300
21,7327,6344,9965,16362,7246,9775,57019,174,45,53,203,58,66,599,2703,2624,764,1928,1594,846,1074,754,86,760,465,90,122,43,1,0.013,238,50.5,1854
22,7421,6316,9745,16267,7267,9751,56767,233,71,86,292,95,75,852,2753,2655,820,1805,1596,875,1121,761,76,690,485,65,189,73,1,0.023,339,51.4,2666
23,7427,6135,9811,16153,7265,9773,56564,314,100,98,422,127,156,1217,2782,2574,814,1914,1580,890,1138,750,76,783,472,86,261,78,1,0.024,466,61.5,3846
24,7239,6226,9684,16125,7149,9754,56177,455,141,159,593,193,221,1762,2608,2666,774,1943,1491,880,1103,813,64,771,435,97,373,132,1,0.04,619,61.5,5548
25,7185,6160,9588,16062,7183,9644,55822,543,209,206,811,264,289,2322,2621,2556,817,1891,1602,860,1062,745,91,733,473,95,490,173,1,0.054,765,61.5,7720
1,6723,6025,9567,15859,7113,9702,54989,0,1,0,0,0,0,1,2493,2895,772,1881,1535,877,1003,857,93,743,410,86,0,0,0,0,1,0,0
2,6513,6091,9403,15786,7223,9637,54653,4,0,0,1,0,0,5,2372,2875,749,1884,1564,860,917,844,80,778,487,93,0,0,0,0,3,2,5
3,6562,5988,9351,15698,7132,9640,54371,7,0,0,2,2,1,12,2434,2736,793,1880,1607,883,964,802,85,731,497,82,3,2,1,0.001,5,2.2,13
