posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest
4043,3436,6009,4089,4949,11234,33760
3764,3405,5942,3895,4949,11018,32973,8287,2838,8463,8037,3316,13257,44198,NA,598,1332,3142,692,715,1547,8026
6553,1465,5189,6593,2601,11241,33642,7337,4905,6048,7254,5626,11462,42632,0.965,560,2303,2242,620,1222,1349,8296
5821,2536,3694,5936,4404,9698,32089,7530,4312,5636,7265,5115,11716,41574,0.975,553,1937,2066,601,1071,1360,7588
6043,2309,3466,5980,4044,9930,31772,7372,4481,5230,7211,5165,11637,41096,0.989,548,2088,1899,606,1187,1321,7649
5856,2330,3249,5914,3978,9874,31201,7752,4363,5454,7630,5054,13528,43781,1.065,551,2040,1982,635,1110,1560,7878
6153,2257,3472,6286,3944,11943,34055,8844,4654,5424,8455,5359,14590,47326,1.081,666,2161,2024,688,1122,1633,8294
7022,2421,3358,7010,4237,12733,36781,9233,5263,5402,9145,6075,15252,50370,1.064,648,2429,2031,787,1334,1766,8995
7372,2756,3311,7504,4741,13180,38864,9698,5584,5611,9591,6476,15769,52729,1.047,677,2558,2097,807,1481,1836,9456
7756,2953,3454,7882,4995,13556,40596,9970,5803,5879,9701,6712,16098,54163,1.027,737,2698,2177,851,1493,1902,9858
7958,3028,3623,7946,5219,13744,41518,10233,5944,6063,9912,6801,16154,55107,1.017,709,2813,2220,832,1527,1853,9954
8156,3032,3756,8157,5274,13773,42148,10191,6159,6124,9767,7027,16035,55303,1.004,731,2840,2262,808,1545,1767,9953
8119,3211,3767,8057,5482,13716,42352,10223,6084,6320,10249,6879,16264,56019,1.013,748,2803,2326,927,1435,1900,10139
8137,3185,3904,8385,5444,13837,42892,10165,6078,6397,10169,7157,16244,56210,1.003,801,2817,2327,900,1580,1859,10284
